api_157_3	d69be55be24fac61393b5856af03479b	2401	Pfam	PF17921	Integrase zinc binding domain	1191	1245	1.9E-14	T	08-03-2021	IPR041588	Integrase zinc-binding domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	CDD	cd01647	RT_LTR	577	744	5.56459E-73	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	1073	1088	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	PANTHER	PTHR24559:SF269	-	1286	1423	7.4E-122	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	PANTHER	PTHR24559:SF269	-	502	1244	7.4E-122	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	SUPERFAMILY	SSF53098	Ribonuclease H-like	1262	1412	1.52E-39	T	08-03-2021	IPR012337	Ribonuclease H-like superfamily	
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	2238	2255	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:3.10.20.370	-	829	942	3.4E-63	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:3.30.70.270	-	758	955	3.4E-63	T	08-03-2021	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	101	267	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	PANTHER	PTHR24559	-	1286	1423	7.4E-122	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	PANTHER	PTHR24559	-	502	1244	7.4E-122	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	ProSiteProfiles	PS50878	Reverse transcriptase (RT) catalytic domain profile.	565	744	18.059	T	08-03-2021	IPR000477	Reverse transcriptase domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	SUPERFAMILY	SSF56672	DNA/RNA polymerases	509	942	7.34E-135	T	08-03-2021	IPR043502	DNA/RNA polymerase superfamily	
api_157_3	d69be55be24fac61393b5856af03479b	2401	Pfam	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	585	743	8.0E-25	T	08-03-2021	IPR000477	Reverse transcriptase domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	ProSiteProfiles	PS50994	Integrase catalytic domain profile.	1259	1418	23.942	T	08-03-2021	IPR001584	Integrase, catalytic core	GO:0015074
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:3.30.420.10	-	1259	1442	3.1E-49	T	08-03-2021	IPR036397	Ribonuclease H superfamily	GO:0003676
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	2218	2284	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Pfam	PF17919	RNase H-like domain found in reverse transcriptase	807	904	9.3E-32	T	08-03-2021	IPR041577	Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	1697	1721	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Pfam	PF00665	Integrase core domain	1263	1359	4.5E-12	T	08-03-2021	IPR001584	Integrase, catalytic core	GO:0015074
api_157_3	d69be55be24fac61393b5856af03479b	2401	CDD	cd09274	RNase_HI_RT_Ty3	838	957	8.86286E-48	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	1053	1117	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:3.30.70.270	-	609	744	1.2E-68	T	08-03-2021	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	
api_157_3	d69be55be24fac61393b5856af03479b	2401	MobiDBLite	mobidb-lite	consensus disorder prediction	1058	1072	-	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:3.10.10.10	HIV Type 1 Reverse Transcriptase	533	669	1.2E-68	T	08-03-2021
api_157_3	d69be55be24fac61393b5856af03479b	2401	Gene3D	G3DSA:1.10.340.70	-	1160	1247	6.4E-12	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	MobiDBLite	mobidb-lite	consensus disorder prediction	2206	2274	-	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	MobiDBLite	mobidb-lite	consensus disorder prediction	1951	2041	-	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	Gene3D	G3DSA:2.40.70.10	Acid Proteases	188	328	4.3E-12	T	08-03-2021	IPR021109	Aspartic peptidase domain superfamily	
api_157_1	6ba41a774362486e4896cfbe33004482	2402	CDD	cd00303	retropepsin_like	215	301	3.75029E-8	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	MobiDBLite	mobidb-lite	consensus disorder prediction	1788	1810	-	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	ProSiteProfiles	PS50158	Zinc finger CCHC-type profile.	13	27	8.796	T	08-03-2021	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270
api_157_1	6ba41a774362486e4896cfbe33004482	2402	ProSiteProfiles	PS50175	Aspartyl protease, retroviral-type family profile.	221	259	10.625	T	08-03-2021	IPR001995	Peptidase A2A, retrovirus, catalytic	GO:0004190|GO:0006508
api_157_1	6ba41a774362486e4896cfbe33004482	2402	MobiDBLite	mobidb-lite	consensus disorder prediction	533	557	-	T	08-03-2021
api_157_1	6ba41a774362486e4896cfbe33004482	2402	ProSitePatterns	PS00141	Eukaryotic and viral aspartyl proteases active site.	223	234	-	T	08-03-2021	IPR001969	Aspartic peptidase, active site	GO:0004190|GO:0006508
api_157_1	6ba41a774362486e4896cfbe33004482	2402	SUPERFAMILY	SSF50630	Acid proteases	212	305	2.63E-7	T	08-03-2021	IPR021109	Aspartic peptidase domain superfamily	
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	488	489	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	ProSiteProfiles	PS50994	Integrase catalytic domain profile.	1085	1247	17.17	T	08-03-2021	IPR001584	Integrase, catalytic core	GO:0015074
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Pfam	PF17917	RNase H-like domain found in reverse transcriptase	830	930	1.6E-20	T	08-03-2021	IPR041373	Reverse transcriptase, RNase H-like domain	
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Gene3D	G3DSA:1.10.340.70	-	1007	1072	1.8E-8	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Gene3D	G3DSA:3.10.20.370	-	824	937	1.0E-32	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	491	492	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	495	501	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	507	508	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Pfam	PF17921	Integrase zinc binding domain	1019	1072	1.5E-12	T	08-03-2021	IPR041588	Integrase zinc-binding domain	
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	PANTHER	PTHR24559	-	663	1072	3.1E-40	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Gene3D	G3DSA:3.30.420.10	-	1084	1267	1.5E-27	T	08-03-2021	IPR036397	Ribonuclease H superfamily	GO:0003676
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	SUPERFAMILY	SSF56672	DNA/RNA polymerases	663	936	4.23E-51	T	08-03-2021	IPR043502	DNA/RNA polymerase superfamily	
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Gene3D	G3DSA:4.10.60.10	-	172	235	5.7E-6	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	503	505	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	Coils	Coil	Coil	277	297	-	T	08-03-2021
Pgal_3_2	0347962f95aba9326b5056758997ccaa	2284	SUPERFAMILY	SSF53098	Ribonuclease H-like	1091	1241	1.38E-24	T	08-03-2021	IPR012337	Ribonuclease H-like superfamily	
