Gypsy-30-I_DR                   DF0002844.1  5597 api_157              -           7204   4.6e-40  139.6   0.0   1   2   7.2e-37   9.7e-35  121.9   0.0  2385  3514  1609  2738  1592  2764 0.77 Internal sequence of a Gypsy LTR retrotransposon from zebrafish
Gypsy90-I_DR                    DF0003067.1  4227 api_157              -           7204   5.2e-31  109.8   0.0   1   2     2e-25   2.7e-23   84.2   0.0  2977  4114  1731  2865  1686  2868 0.79 LTR retrotransposon from zebrafish: internal sequence
Gypsy90-I_DR                    DF0003067.1  4227 api_157              -           7204   5.2e-31  109.8   0.0   2   2   5.6e-07   7.7e-05   22.9   0.0  1678  2008  3624  3948  3601  3964 0.79 LTR retrotransposon from zebrafish: internal sequence
ZAM_I                           DF0001526.2  7490 api_157              -           7204   3.4e-30  106.9   0.0   1   1   3.5e-32   4.8e-30  106.5   0.0  3376  4398  1731  2738  1726  2747 0.80 ZAM_I is an internal portion of the ZAM retrovirus.
Gypsy158-I_DR                   DF0003591.2  4391 api_157              -           7204   7.4e-30  106.3   0.0   1   1   7.9e-32   1.1e-29  105.8   0.0  1593  2752  1680  2818  1648  2882 0.72 LTR retrotransposon from zebrafish: internal sequence
Halyomorpha_halys-1_family-161  DF0004444.1  1009 api_157              -           7204   4.6e-29  105.0   0.0   1   2     3e-19   4.1e-17   65.4   0.0   146   494  2012  2360  1986  2369 0.90 Long Terminal Repeat for an Gypsy endogenous retrovirus
Halyomorpha_halys-1_family-161  DF0004444.1  1009 api_157              -           7204   4.6e-29  105.0   0.0   2   2   1.1e-10   1.5e-08   37.1   0.0   609   875  2475  2741  2445  2746 0.74 Long Terminal Repeat for an Gypsy endogenous retrovirus
ACCORD_I                        DF0001532.2  6288 api_157              -           7204   5.9e-27   96.5   0.0   1   1   6.3e-29   8.6e-27   96.0   0.0  3003  4026  1731  2739  1726  2776 0.78 ACCORD_I is an internal portion of ACCORD retrovirus-like element
Gypsy45-I_DR                    DF0003158.2  5192 api_157              -           7204   7.2e-26   92.7   0.0   1   1   9.4e-28   1.3e-25   91.9   0.0  3874  5031  1653  2808  1505  2835 0.70 Internal sequence of a Gypsy LTR retrotransposon from zebrafish
BLASTOPIA_I                     DF0001544.2  4481 api_157              -           7204   4.4e-24   87.5   0.0   1   1   4.4e-26     6e-24   87.1   0.0  2065  3199  1742  2873  1722  2906 0.70 BLASTOPIA_I is an internal portion of the BLASTOPIA LTR retrotransposon.
Gypsy-210_DR-I                  DF0003595.2  4148 api_157              -           7204   6.2e-23   83.2   0.0   1   2   1.3e-23   1.7e-21   78.4   0.0  2936  4030  1705  2866  1625  2875 0.70 LTR retrotransposon from zebrafish: internal sequence
Gypsy127-I_DR                   DF0002702.2  4976 api_157              -           7204   5.8e-22   79.8   0.0   1   1   6.3e-24   8.5e-22   79.3   0.0  3708  4794  1656  2739  1629  2790 0.73 Internal sequence of a Gypsy LTR retrotransposon from zebrafish
Gypsy-131_DR-I                  DF0003216.1  4253 api_157              -           7204   6.2e-22   80.0   0.0   1   2   1.2e-21   1.6e-19   72.0   0.0  2942  3661  1669  2392  1637  2582 0.76 LTR retrotransposon from zebrafish: internal sequence
Gypsy-179_DR-I                  DF0002324.2  3925 api_157              -           7204   1.1e-21   79.1   0.0   1   1   1.4e-23     2e-21   78.2   0.0  1218  2380  1737  2892  1727  2946 0.76 LTR retrotransposon from zebrafish: internal sequence
